date,Air Average,Water Average
2022-09-19 00:00:00+00:00,29.25,32.0
2022-09-19 01:00:00+00:00,28.725,31.7
2022-09-19 02:00:00+00:00,28.575,31.575
2022-09-19 03:00:00+00:00,28.525,31.45
2022-09-19 04:00:00+00:00,28.325,31.275
2022-09-19 05:00:00+00:00,28.25,31.125
2022-09-19 06:00:00+00:00,28.2,31.05
2022-09-19 07:00:00+00:00,28.2,30.975
2022-09-19 08:00:00+00:00,28.075,30.95
2022-09-19 09:00:00+00:00,28.075,30.95
2022-09-19 10:00:00+00:00,28.125,30.825
2022-09-19 11:00:00+00:00,27.825,30.675
2022-09-19 12:00:00+00:00,27.525,30.6
2022-09-19 13:00:00+00:00,27.75,30.6
2022-09-19 14:00:00+00:00,28.925,30.525
2022-09-19 15:00:00+00:00,28.23333333,30.56666667
2022-09-19 16:00:00+00:00,29.225,30.65
2022-09-19 17:00:00+00:00,29.35,30.975
2022-09-19 18:00:00+00:00,29.875,31.2
2022-09-19 19:00:00+00:00,30.025,31.65
2022-09-19 20:00:00+00:00,30.05,32.05
2022-09-19 21:00:00+00:00,29.975,32.25
2022-09-19 22:00:00+00:00,30.0,32.475
2022-09-19 23:00:00+00:00,29.9,32.5
2022-09-20 00:00:00+00:00,29.525,32.375
2022-09-20 01:00:00+00:00,28.95,32.125
2022-09-20 02:00:00+00:00,28.75,31.925
2022-09-20 03:00:00+00:00,28.725,31.775
2022-09-20 04:00:00+00:00,28.725,31.55
2022-09-20 05:00:00+00:00,28.75,31.375
2022-09-20 06:00:00+00:00,28.45,31.25
2022-09-20 07:00:00+00:00,28.4,31.15
2022-09-20 08:00:00+00:00,28.3,31.075
2022-09-20 09:00:00+00:00,27.875,30.9
2022-09-20 10:00:00+00:00,27.95,30.95
2022-09-20 11:00:00+00:00,27.2,30.95
2022-09-20 12:00:00+00:00,27.375,30.925
2022-09-20 13:00:00+00:00,27.125,30.85
2022-09-20 14:00:00+00:00,28.175,30.8
2022-09-20 15:00:00+00:00,28.675,30.775
2022-09-20 16:00:00+00:00,29.65,30.825
2022-09-20 17:00:00+00:00,29.575,31.0
2022-09-20 18:00:00+00:00,29.1,31.25
2022-09-20 19:00:00+00:00,29.375,31.65
2022-09-20 20:00:00+00:00,29.725,32.2
2022-09-20 21:00:00+00:00,29.85,32.15
2022-09-20 22:00:00+00:00,29.75,32.15
2022-09-20 23:00:00+00:00,29.775,32.125
2022-09-21 00:00:00+00:00,29.425,32.15
2022-09-21 01:00:00+00:00,28.825,32.0
2022-09-21 02:00:00+00:00,28.425,31.85
2022-09-21 03:00:00+00:00,28.25,31.775
2022-09-21 04:00:00+00:00,28.125,31.725
2022-09-21 05:00:00+00:00,27.975,31.6
2022-09-21 06:00:00+00:00,27.6,31.475
2022-09-21 07:00:00+00:00,27.325,31.35
2022-09-21 08:00:00+00:00,26.95,31.275
2022-09-21 09:00:00+00:00,25.975,31.15
2022-09-21 10:00:00+00:00,25.5,31.1
2022-09-21 11:00:00+00:00,25.5,31.05
2022-09-21 12:00:00+00:00,25.15,30.925
2022-09-21 13:00:00+00:00,25.45,30.8
2022-09-21 14:00:00+00:00,26.325,30.55
2022-09-21 15:00:00+00:00,27.05,30.65
2022-09-21 16:00:00+00:00,27.9,30.75
2022-09-21 17:00:00+00:00,28.7,31.0
2022-09-21 18:00:00+00:00,29.275,31.275
2022-09-21 19:00:00+00:00,29.65,31.6
2022-09-21 20:00:00+00:00,29.75,31.95
2022-09-21 21:00:00+00:00,29.75,31.925
2022-09-21 22:00:00+00:00,29.7,32.15
2022-09-21 23:00:00+00:00,29.375,32.225
2022-09-22 00:00:00+00:00,28.975,31.975
2022-09-22 01:00:00+00:00,28.275,31.775
2022-09-22 02:00:00+00:00,28.125,31.575
2022-09-22 03:00:00+00:00,27.825,31.475
2022-09-22 04:00:00+00:00,27.65,31.35
2022-09-22 05:00:00+00:00,27.55,31.25
2022-09-22 06:00:00+00:00,27.375,31.1
2022-09-22 07:00:00+00:00,26.475,30.875
2022-09-22 08:00:00+00:00,26.375,30.775
2022-09-22 09:00:00+00:00,25.55,30.625
2022-09-22 10:00:00+00:00,24.95,30.55
2022-09-22 11:00:00+00:00,25.0,30.475
2022-09-22 12:00:00+00:00,24.9,30.55
2022-09-22 13:00:00+00:00,24.8,30.45
2022-09-22 14:00:00+00:00,25.825,30.175
2022-09-22 15:00:00+00:00,26.8,30.25
2022-09-22 16:00:00+00:00,27.925,30.35
2022-09-22 17:00:00+00:00,29.1,30.675
2022-09-22 18:00:00+00:00,30.175,30.0
2022-09-22 19:00:00+00:00,30.9,30.33333333
2022-09-22 20:00:00+00:00,31.375,30.43333333
2022-09-22 21:00:00+00:00,31.175,30.93333333
2022-09-22 22:00:00+00:00,31.35,31.0
2022-09-22 23:00:00+00:00,31.225,31.13333333
2022-09-23 00:00:00+00:00,30.875,32.25
2022-09-23 01:00:00+00:00,29.975,32.025
2022-09-23 02:00:00+00:00,29.375,31.775
2022-09-23 03:00:00+00:00,29.15,31.675
2022-09-23 04:00:00+00:00,29.025,31.575
2022-09-23 05:00:00+00:00,28.6,31.475
2022-09-23 06:00:00+00:00,27.975,31.375
