dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
05-27-2011 0000,27.9,31
05-27-2011 0100,27.3,30.8
05-27-2011 0200,27.1,30.6
05-27-2011 0300,27,30.4
05-27-2011 0400,26.8,29.9
05-27-2011 0500,26.6,29.5
05-27-2011 0600,26.4,29.5
05-27-2011 0700,26.2,29.2
05-27-2011 0800,26.2,28.9
05-27-2011 0900,26.1,28.6
05-27-2011 1000,26.1,28.4
05-27-2011 1100,26,28.4
05-27-2011 1200,26.2,28.2
05-27-2011 1300,26.4,28
05-27-2011 1400,27,28.2
05-27-2011 1500,27.6,28.3
05-27-2011 1600,28,28.5
05-27-2011 1700,28.4,29.1
05-27-2011 1800,28.1,29.7
05-27-2011 1900,29.2,30.2
05-27-2011 2000,28.4,30.2
05-27-2011 2100,28.4,31
05-27-2011 2200,28.1,31
05-27-2011 2300,28.1,30.8
05-28-2011 0000,27.7,30.4
05-28-2011 0100,27.2,29.9
05-28-2011 0200,26.9,29.4
05-28-2011 0300,26.8,29.1
05-28-2011 0400,26.7,28.8
05-28-2011 0500,26.8,28.4
05-28-2011 0600,26.7,28.2
05-28-2011 0700,26.5,28.1
05-28-2011 0800,26.4,27.9
05-28-2011 0900,26.3,27.7
05-28-2011 1000,26.3,27.6
05-28-2011 1100,26.4,27.6
05-28-2011 1200,26.4,27.4
05-28-2011 1300,26.9,27.5
05-28-2011 1400,27.2,27.6
05-28-2011 1500,27.6,28
05-28-2011 1600,27.9,28.4
05-28-2011 1700,28.1,28.6
05-28-2011 1800,28.6,29.1
05-28-2011 1900,28.6,29.7
05-28-2011 2000,28.8,30.1
05-28-2011 2100,28.7,30.3
05-28-2011 2200,28.4,30.3
05-28-2011 2300,28.3,30.3
05-29-2011 0000,27.8,29.6
05-29-2011 0100,27.1,29.6
05-29-2011 0200,27,29.2
05-29-2011 0300,26.8,28.8
05-29-2011 0400,26.8,28.6
05-29-2011 0500,26.5,28.3
05-29-2011 0600,26.6,28.2
05-29-2011 0700,26.6,27.9
05-29-2011 0800,26.5,27.7
05-29-2011 0900,26.4,27.6
05-29-2011 1000,26.5,27.5
05-29-2011 1100,26.5,27.4
05-29-2011 1200,26.5,27.3
05-29-2011 1300,27,27.3
05-29-2011 1400,27.4,27.4
05-29-2011 1500,27.5,27.5
05-29-2011 1600,28.2,27.9
05-29-2011 1700,28.2,28.5
05-29-2011 1800,28.9,29.1
05-29-2011 1900,28.2,29.7
05-29-2011 2000,28.3,30.2
05-29-2011 2100,28.1,30
05-29-2011 2200,28.1,30.5
05-29-2011 2300,27.9,30.3
05-30-2011 0000,27.6,29.6
05-30-2011 0100,27.6,29.2
05-30-2011 0200,27.3,28.9
05-30-2011 0300,27.2,28.9
05-30-2011 0400,27.2,29
05-30-2011 0500,27.2,28.3
05-30-2011 0600,27.3,28.3
05-30-2011 0700,27.2,28.3
05-30-2011 0800,27.2,28.2
05-30-2011 0900,26.9,28
05-30-2011 1000,26.9,27.8
05-30-2011 1100,26.7,27.6
05-30-2011 1200,26.6,27.4
05-30-2011 1300,27.2,27.4
05-30-2011 1400,27.5,27.5
05-30-2011 1500,27.8,28
05-30-2011 1600,28.7,28.4
05-30-2011 1700,28.6,29
05-30-2011 1800,28.8,29.7
05-30-2011 1900,28.6,30.2
05-30-2011 2000,29.2,30.7
05-30-2011 2100,28,30.8
05-30-2011 2200,28.2,30
05-30-2011 2300,28.2,30.1
05-31-2011 0000,27.9,30
05-31-2011 0100,27.5,29.8
05-31-2011 0200,27.4,29.2
05-31-2011 0300,27.4,29.3
05-31-2011 0400,27.3,29.2
05-31-2011 0500,27.2,28.9
05-31-2011 0600,27.2,28.6
05-31-2011 0700,27.1,28.2
05-31-2011 0800,27,28.1
05-31-2011 0900,27,28.2
05-31-2011 1000,26.9,28.1
05-31-2011 1100,26.7,27.9
05-31-2011 1200,26.7,27.8
05-31-2011 1300,27.2,27.8
05-31-2011 1400,27.7,28.2
05-31-2011 1500,28,28.5
05-31-2011 1600,28.1,28.7
05-31-2011 1700,28.4,29.4
05-31-2011 1800,27.7,29.9
05-31-2011 1900,27.9,30.8
05-31-2011 2000,28.1,31.4
05-31-2011 2100,28,31.7
05-31-2011 2200,27.8,32.4
05-31-2011 2300,27.9,32.6
06-01-2011 0000,27.9,31.9
06-01-2011 0100,27.6,31.7
06-01-2011 0200,27.4,31.4
06-01-2011 0300,27.2,31.1
06-01-2011 0400,27.2,30.3
06-01-2011 0500,27.1,30.1
06-01-2011 0600,26.9,29.7
06-01-2011 0700,26.8,29.6
06-01-2011 0800,26.7,29.3
06-01-2011 0900,26.5,28.9
06-01-2011 1000,26.4,28.7
06-01-2011 1100,26.5,28.7
06-01-2011 1200,26.5,28.5
06-01-2011 1300,27,28.7
06-01-2011 1400,27.3,28.8
06-01-2011 1500,27,29.1
06-01-2011 1600,27.1,29.6
06-01-2011 1700,27.2,30.1
06-01-2011 1800,27.4,30.6
06-01-2011 1900,27.5,31.1
06-01-2011 2000,27.3,31.3
06-01-2011 2100,27.3,31.7
06-01-2011 2200,27.7,31.4
06-01-2011 2300,27.4,31.4
06-02-2011 0000,27.5,31.1
06-02-2011 0100,27.2,30.6
06-02-2011 0200,27,30.7
06-02-2011 0300,26.8,29.8
06-02-2011 0400,26.6,29.5
06-02-2011 0500,26.6,29.3
