dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
10-01-2024 0000,28.6,31.0
10-01-2024 0100,27.9,31.0
10-01-2024 0200,27.7,30.7
10-01-2024 0300,27.7,30.3
10-01-2024 0400,27.6,30.1
10-01-2024 0500,27.3,29.8
10-01-2024 0600,27.0,29.6
10-01-2024 0700,27.1,29.4
10-01-2024 0800,26.7,29.2
10-01-2024 0900,26.6,29.0
10-01-2024 1000,26.3,28.9
10-01-2024 1100,26.5,28.7
10-01-2024 1200,26.6,28.5
10-01-2024 1300,26.2,28.3
10-01-2024 1400,26.3,28.2
10-01-2024 1500,27.2,28.3
10-01-2024 1600,27.8,28.4
10-01-2024 1700,27.9,28.8
10-01-2024 1800,29.0,29.2
10-01-2024 1900,28.8,29.6
10-01-2024 2000,28.8,29.9
10-01-2024 2100,29.1,30.2
10-01-2024 2200,29.3,30.3
10-01-2024 2300,29.3,30.2
10-02-2024 0000,28.8,30.3
10-02-2024 0100,27.9,30.4
10-02-2024 0200,27.8,30.3
10-02-2024 0300,27.7,30.2
10-02-2024 0400,27.5,29.9
10-02-2024 0500,27.2,29.6
10-02-2024 0600,27.4,29.5
10-02-2024 0700,24.7,29.4
10-02-2024 0800,24.7,29.3
10-02-2024 0900,24.3,28.9
10-02-2024 1000,24.0,28.8
10-02-2024 1100,24.3,28.7
10-02-2024 1200,24.6,28.5
10-02-2024 1300,24.8,28.3
10-02-2024 1400,25.2,28.3
10-02-2024 1500,-999.0,-999.0
10-02-2024 1600,27.8,28.5
10-02-2024 1700,28.4,28.7
10-02-2024 1800,28.6,28.9
10-02-2024 1900,29.6,29.3
10-02-2024 2000,29.3,29.6
10-02-2024 2100,29.4,29.9
10-02-2024 2200,29.2,30.0
10-02-2024 2300,29.2,30.1
10-03-2024 0000,28.6,30.1
10-03-2024 0100,27.9,29.9
10-03-2024 0200,27.9,29.7
10-03-2024 0300,27.8,29.5
10-03-2024 0400,27.8,29.2
10-03-2024 0500,27.5,29.0
10-03-2024 0600,27.5,28.9
10-03-2024 0700,27.3,28.7
10-03-2024 0800,27.0,28.5
10-03-2024 0900,26.8,28.3
10-03-2024 1000,26.6,28.2
10-03-2024 1100,25.4,28.1
10-03-2024 1200,24.7,28.2
10-03-2024 1300,24.2,28.2
10-03-2024 1400,25.1,28.1
10-03-2024 1500,26.5,28.1
10-03-2024 1600,27.1,28.4
10-03-2024 1700,28.5,28.7
10-03-2024 1800,28.7,29.0
10-03-2024 1900,28.6,29.3
10-03-2024 2000,28.4,29.4
10-03-2024 2100,28.7,29.4
10-03-2024 2200,28.8,29.5
10-03-2024 2300,28.8,29.5
10-04-2024 0000,28.6,29.4
10-04-2024 0100,28.0,29.2
10-04-2024 0200,28.1,28.9
10-04-2024 0300,28.3,28.7
10-04-2024 0400,28.2,28.4
10-04-2024 0500,28.3,28.3
10-04-2024 0600,28.0,28.3
10-04-2024 0700,27.8,28.2
10-04-2024 0800,27.8,28.2
10-04-2024 0900,26.5,28.2
10-04-2024 1000,26.8,28.0
10-04-2024 1100,26.6,27.9
10-04-2024 1200,26.7,27.7
10-04-2024 1300,26.2,27.7
10-04-2024 1400,26.3,27.6
10-04-2024 1500,26.5,27.7
10-04-2024 1600,26.5,27.6
10-04-2024 1700,26.1,27.5
10-04-2024 1800,25.0,27.4
10-04-2024 1900,25.4,27.4
10-04-2024 2000,28.1,27.4
10-04-2024 2100,27.8,27.5
10-04-2024 2200,27.6,27.6
10-04-2024 2300,28.1,27.6
10-05-2024 0000,27.6,27.6
10-05-2024 0100,26.9,27.5
10-05-2024 0200,27.1,27.5
10-05-2024 0300,27.1,27.4
10-05-2024 0400,27.2,27.4
10-05-2024 0500,27.4,27.3
10-05-2024 0600,27.4,27.3
10-05-2024 0700,26.0,27.2
10-05-2024 0800,27.0,27.1
10-05-2024 0900,27.2,27.1
10-05-2024 1000,27.2,27.1
10-05-2024 1100,27.1,27.1
10-05-2024 1200,26.7,26.9
10-05-2024 1300,26.7,26.9
10-05-2024 1400,26.6,27.0
10-05-2024 1500,27.3,26.9
10-05-2024 1600,27.3,27.3
10-05-2024 1700,28.1,27.6
10-05-2024 1800,28.0,27.7
10-05-2024 1900,27.6,27.8
10-05-2024 2000,27.9,28.1
10-05-2024 2100,28.1,28.3
10-05-2024 2200,28.0,28.4
10-05-2024 2300,28.4,28.5
10-06-2024 0000,27.8,28.5
10-06-2024 0100,27.9,28.5
10-06-2024 0200,27.8,28.5
10-06-2024 0300,27.8,28.5
10-06-2024 0400,27.7,28.5
10-06-2024 0500,27.5,28.1
10-06-2024 0600,27.5,27.9
10-06-2024 0700,27.4,27.8
10-06-2024 0800,27.3,27.7
10-06-2024 0900,27.5,27.6
10-06-2024 1000,27.5,27.5
10-06-2024 1100,26.5,27.5
10-06-2024 1200,26.1,27.5
10-06-2024 1300,25.9,27.4
10-06-2024 1400,26.2,27.4
10-06-2024 1500,26.6,27.4
10-06-2024 1600,27.1,27.5
10-06-2024 1700,27.3,27.7
10-06-2024 1800,27.9,27.9
10-06-2024 1900,28.6,28.1
10-06-2024 2000,28.9,28.5
10-06-2024 2100,29.0,28.8
10-06-2024 2200,29.2,29.0
10-06-2024 2300,29.1,29.1
10-07-2024 0000,28.5,29.1
10-07-2024 0100,28.2,29.2
10-07-2024 0200,28.1,29.2
