dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
11-20-2013 0000,19.8,20.9
11-20-2013 0100,19.5,20.9
11-20-2013 0200,20.1,20.7
11-20-2013 0300,20,20.6
11-20-2013 0400,20.1,20.6
11-20-2013 0500,20.2,20.5
11-20-2013 0600,20.2,20.5
11-20-2013 0700,20.3,20.5
11-20-2013 0800,20.5,20.5
11-20-2013 0900,20.7,20.4
11-20-2013 1000,20.3,20.4
11-20-2013 1100,20.3,20.3
11-20-2013 1200,20.5,20.3
11-20-2013 1300,20.4,20.3
11-20-2013 1400,20.4,20.3
11-20-2013 1500,20.5,20.4
11-20-2013 1600,21.3,20.6
11-20-2013 1700,22,20.9
11-20-2013 1800,22.9,21.3
11-20-2013 1900,23.7,21.8
11-20-2013 2000,23.8,22.5
11-20-2013 2100,23.3,22
11-20-2013 2200,24.1,21.8
11-20-2013 2300,23.1,21.9
11-21-2013 0000,22.4,22.5
11-21-2013 0100,22.2,22.7
11-21-2013 0200,22.9,22.1
11-21-2013 0300,22.9,22.2
11-21-2013 0400,22.6,22.2
11-21-2013 0500,22.2,22.2
11-21-2013 0600,22.4,22.2
11-21-2013 0700,22.4,22
11-21-2013 0800,21.9,22.2
11-21-2013 0900,22.2,21.8
11-21-2013 1000,22.1,21.8
11-21-2013 1100,22,21.8
11-21-2013 1200,22,21.7
11-21-2013 1300,22.2,21.6
11-21-2013 1400,22.4,21.6
11-21-2013 1500,23.6,21.7
11-21-2013 1600,24.4,22
11-21-2013 1700,25.1,22.4
11-21-2013 1800,25.4,22.8
11-21-2013 1900,25.5,22.9
11-21-2013 2000,25.4,23.4
11-21-2013 2100,25,23.7
11-21-2013 2200,24.6,23.8
11-21-2013 2300,23.9,23.8
11-22-2013 0000,23.2,23.5
11-22-2013 0100,23.2,23.5
11-22-2013 0200,23.1,23.3
11-22-2013 0300,23.5,23.1
11-22-2013 0400,23.3,22.9
11-22-2013 0500,23.3,23
11-22-2013 0600,22.8,22.9
11-22-2013 0700,22.6,22.8
11-22-2013 0800,22.6,22.7
11-22-2013 0900,22.8,22.7
11-22-2013 1000,22.6,22.7
11-22-2013 1100,22.6,22.6
11-22-2013 1200,22.3,22.6
11-22-2013 1300,22,22.6
11-22-2013 1400,22.5,22.6
11-22-2013 1500,23,22.7
11-22-2013 1600,24.2,23
11-22-2013 1700,14.2,22.8
11-22-2013 1800,12.3,22.4
11-22-2013 1900,11.7,22.1
11-22-2013 2000,11.4,21.7
11-22-2013 2100,10.5,21.3
11-22-2013 2200,9.5,20.8
11-22-2013 2300,9.1,20.3
11-23-2013 0000,8.1,19.7
11-23-2013 0100,8.3,19.2
11-23-2013 0200,7.2,19.3
11-23-2013 0300,6.9,18.8
11-23-2013 0400,6.7,18.9
11-23-2013 0500,6.2,18.7
11-23-2013 0600,5.7,18.3
11-23-2013 0700,5.3,17.1
11-23-2013 0800,5.6,17.8
11-23-2013 0900,5.6,17.7
11-23-2013 1000,5.6,17.2
11-23-2013 1100,5.7,16.5
11-23-2013 1200,5.7,16.6
11-23-2013 1300,5.7,16.2
11-23-2013 1400,6.1,16.1
11-23-2013 1500,6.1,15.5
11-23-2013 1600,6.6,15.5
11-23-2013 1700,6.9,15
11-23-2013 1800,7,15
11-23-2013 1900,7.3,14.6
11-23-2013 2000,7.4,14.1
11-23-2013 2100,7.4,14.2
11-23-2013 2200,7.7,13.8
11-23-2013 2300,7.5,13.7
11-24-2013 0000,7.4,13.5
11-24-2013 0100,7.6,13.1
11-24-2013 0200,7.1,12.9
11-24-2013 0300,7.1,13.2
11-24-2013 0400,7.1,13.7
11-24-2013 0500,7.1,13.5
11-24-2013 0600,7.3,12.8
11-24-2013 0700,7.5,12.3
11-24-2013 0800,8,12.9
11-24-2013 0900,8.1,13.2
11-24-2013 1000,8.3,13.2
11-24-2013 1100,8.1,13.1
11-24-2013 1200,8,13
11-24-2013 1300,8,12.9
11-24-2013 1400,8.3,12.2
11-24-2013 1500,7.9,11.4
11-24-2013 1600,7.4,10.6
11-24-2013 1700,6.2,11.1
11-24-2013 1800,6.6,10.6
11-24-2013 1900,7,10.7
11-24-2013 2000,7.1,11
11-24-2013 2100,7.6,10.7
11-24-2013 2200,7.7,10.3
11-24-2013 2300,7.4,9.8
11-25-2013 0000,6.8,9.5
