lead_time,cycle,neurons,dropout,activation,num_layers,val_mae12,n_reps
3.0,0.0,16.0,0.0,relu,1.0,0.33239273230234784,3
3.0,0.0,128.0,0.0,selu,3.0,0.33503153920173645,3
3.0,0.0,16.0,0.0,selu,1.0,0.33632785081863403,3
3.0,0.0,256.0,0.0,selu,3.0,0.33682061235109967,3
3.0,0.0,256.0,0.0,selu,1.0,0.3514830867449443,3
3.0,0.0,128.0,0.0,relu,2.0,0.3533145487308502,3
3.0,0.0,128.0,0.0,selu,2.0,0.35441794991493225,3
3.0,0.0,64.0,0.0,selu,1.0,0.35894113779067993,3
3.0,0.0,16.0,0.0,selu,2.0,0.3648987114429474,3
3.0,0.0,32.0,0.0,selu,3.0,0.36536025007565814,3
3.0,0.0,32.0,0.0,selu,2.0,0.3662969668706258,3
3.0,0.0,256.0,0.0,selu,2.0,0.36851664384206134,3
3.0,0.0,128.0,0.0,selu,1.0,0.369251807530721,3
3.0,0.0,64.0,0.0,selu,2.0,0.37064045667648315,3
3.0,0.0,32.0,0.0,selu,1.0,0.37456367413202923,3
3.0,0.0,16.0,0.0,selu,3.0,0.3765612045923869,3
3.0,0.0,256.0,0.0,relu,2.0,0.3789178927739461,3
3.0,0.0,128.0,0.0,relu,3.0,0.38369179765383404,3
3.0,0.0,256.0,0.1,relu,1.0,0.3846701482931773,3
3.0,0.0,64.0,0.0,selu,3.0,0.39019307494163513,3
3.0,1.0,256.0,0.0,selu,1.0,0.33251679937044776,3
3.0,1.0,16.0,0.0,leaky_relu,1.0,0.3360370496908824,3
3.0,1.0,128.0,0.0,selu,1.0,0.33721889058748883,3
3.0,1.0,256.0,0.0,leaky_relu,1.0,0.34487249453862506,3
3.0,1.0,16.0,0.0,relu,1.0,0.34625312685966486,3
3.0,1.0,32.0,0.0,leaky_relu,1.0,0.353311131397883,3
3.0,1.0,32.0,0.0,relu,1.0,0.35486723979314166,3
3.0,1.0,16.0,0.0,selu,1.0,0.35955633719762164,3
3.0,1.0,64.0,0.0,leaky_relu,1.0,0.3763187726338704,3
3.0,1.0,64.0,0.0,selu,1.0,0.37741852800051373,3
3.0,1.0,64.0,0.0,relu,1.0,0.3888540466626485,3
3.0,1.0,256.0,0.0,relu,1.0,0.3891763786474864,3
3.0,1.0,256.0,0.0,leaky_relu,2.0,0.3913868268330892,3
3.0,1.0,16.0,0.0,selu,2.0,0.3917916218439738,3
3.0,1.0,32.0,0.0,selu,1.0,0.39337804913520813,3
3.0,1.0,128.0,0.0,leaky_relu,1.0,0.3980482319990794,3
3.0,1.0,128.0,0.0,relu,1.0,0.40348108609517414,3
3.0,1.0,16.0,0.0,relu,3.0,0.4066724280516307,3
3.0,1.0,32.0,0.0,leaky_relu,2.0,0.40813112258911133,3
3.0,1.0,16.0,0.0,leaky_relu,2.0,0.4090598424275716,3
3.0,2.0,256.0,0.0,selu,1.0,0.3247782886028289,3
3.0,2.0,256.0,0.0,selu,3.0,0.34422680735588074,3
3.0,2.0,16.0,0.0,selu,2.0,0.35053519407908124,3
3.0,2.0,64.0,0.0,selu,1.0,0.3507378300031026,3
3.0,2.0,32.0,0.0,selu,2.0,0.35658963521321607,3
3.0,2.0,256.0,0.0,leaky_relu,2.0,0.35695810119311017,3
3.0,2.0,16.0,0.0,selu,3.0,0.3678058882554372,3
3.0,2.0,256.0,0.0,selu,2.0,0.36981139580408734,3
3.0,2.0,64.0,0.0,selu,2.0,0.3811492125193278,3
3.0,2.0,64.0,0.0,selu,3.0,0.3813251256942749,3
3.0,2.0,128.0,0.0,selu,3.0,0.3826245069503784,3
3.0,2.0,128.0,0.0,selu,2.0,0.38993846376736957,3
3.0,2.0,32.0,0.0,selu,3.0,0.3956660230954488,3
3.0,2.0,256.0,0.0,leaky_relu,3.0,0.39931656916936237,3
3.0,2.0,128.0,0.0,selu,1.0,0.3993303378423054,3
3.0,2.0,256.0,0.0,relu,2.0,0.403138389190038,3
3.0,2.0,128.0,0.0,leaky_relu,3.0,0.43143558502197266,3
3.0,2.0,128.0,0.0,relu,3.0,0.4469377398490906,3
3.0,2.0,64.0,0.0,relu,3.0,0.4886840482552846,3
3.0,2.0,16.0,0.3,relu,1.0,0.5172307888666788,3
3.0,3.0,256.0,0.0,selu,1.0,0.4996518890062968,3
3.0,3.0,64.0,0.0,leaky_relu,1.0,0.5087380409240723,3
3.0,3.0,256.0,0.0,leaky_relu,1.0,0.5092466870943705,3
3.0,3.0,256.0,0.0,relu,1.0,0.5108587543169657,3
3.0,3.0,32.0,0.0,leaky_relu,1.0,0.5110931197802225,3
3.0,3.0,128.0,0.0,leaky_relu,2.0,0.5112636685371399,3
3.0,3.0,256.0,0.0,selu,2.0,0.5123643279075623,3
3.0,3.0,32.0,0.0,relu,1.0,0.5155240297317505,3
3.0,3.0,128.0,0.0,leaky_relu,1.0,0.5170130530993143,3
3.0,3.0,256.0,0.0,leaky_relu,2.0,0.5184385776519775,3
3.0,3.0,256.0,0.0,relu,2.0,0.5230435132980347,3
3.0,3.0,16.0,0.0,selu,1.0,0.5240760842959086,3
3.0,3.0,16.0,0.0,leaky_relu,1.0,0.5267887115478516,3
3.0,3.0,64.0,0.0,relu,1.0,0.5277471741040548,3
3.0,3.0,16.0,0.0,relu,1.0,0.5301817456881205,3
3.0,3.0,128.0,0.0,relu,2.0,0.5303082664807638,3
3.0,3.0,16.0,0.0,selu,2.0,0.5342047015825907,3
3.0,3.0,64.0,0.0,leaky_relu,2.0,0.5343639254570007,3
3.0,3.0,128.0,0.0,relu,1.0,0.5361992120742798,3
3.0,3.0,128.0,0.05,leaky_relu,1.0,0.5362730026245117,3
6.0,0.0,128.0,0.0,selu,3.0,0.4408164421717326,3
6.0,0.0,256.0,0.0,selu,1.0,0.44397638241449994,3
6.0,0.0,256.0,0.0,selu,2.0,0.44842518369356793,3
6.0,0.0,128.0,0.0,selu,2.0,0.4587675631046295,3
6.0,0.0,256.0,0.0,selu,3.0,0.460890531539917,3
6.0,0.0,64.0,0.0,selu,2.0,0.4697510202725728,3
6.0,0.0,128.0,0.0,relu,3.0,0.4699549376964569,3
6.0,0.0,256.0,0.1,relu,1.0,0.47442371646563214,3
6.0,0.0,16.0,0.0,selu,2.0,0.4759096602598826,3
6.0,0.0,128.0,0.0,selu,1.0,0.47622911135355633,3
6.0,0.0,16.0,0.0,selu,1.0,0.47625015179316205,3
6.0,0.0,32.0,0.0,selu,2.0,0.4781872630119324,3
6.0,0.0,128.0,0.05,relu,2.0,0.4783661961555481,3
6.0,0.0,64.0,0.0,relu,2.0,0.47898616393407184,3
6.0,0.0,64.0,0.0,selu,3.0,0.47932435075442,3
6.0,0.0,128.0,0.0,relu,2.0,0.4832301735877991,3
6.0,0.0,32.0,0.0,selu,1.0,0.48418715596199036,3
6.0,0.0,16.0,0.0,selu,3.0,0.48419511318206787,3
6.0,0.0,256.0,0.1,relu,2.0,0.4863826135794322,3
6.0,0.0,32.0,0.0,selu,3.0,0.48850055535634357,3
6.0,1.0,16.0,0.0,relu,1.0,0.496305247147878,3
6.0,1.0,256.0,0.0,selu,1.0,0.5129912793636322,3
6.0,1.0,256.0,0.0,relu,1.0,0.5152088900407156,3
6.0,1.0,32.0,0.0,leaky_relu,1.0,0.518329938252767,3
6.0,1.0,32.0,0.0,selu,2.0,0.5188746849695841,3
6.0,1.0,32.0,0.0,relu,1.0,0.5257579783598582,3
6.0,1.0,128.0,0.0,selu,1.0,0.5262529452641805,3
6.0,1.0,256.0,0.0,leaky_relu,1.0,0.5285131136576334,3
6.0,1.0,128.0,0.0,leaky_relu,2.0,0.5295879443486532,3
6.0,1.0,16.0,0.0,selu,2.0,0.5324363013108572,3
6.0,1.0,64.0,0.0,selu,3.0,0.5357550779978434,3
6.0,1.0,32.0,0.0,selu,3.0,0.5362119476000468,3
6.0,1.0,64.0,0.0,relu,1.0,0.538471519947052,3
