Architecture,LeadTime,Cycle,% of Models with <-1.0°C Preds,Total <-1.0°C Preds,Ensemble Min,Observed Min,% of Models with <-5.0°C Preds,Total <-5.0°C Preds,,
MAPE,120h,2,2/30 (7%),25,-1.66,-0.9,0/30 (0%),0,,
MAPE,120h,1,5/30 (17%),29,-2.27,-0.9,0/30 (0%),0,,
MAPE,120h,3,3/30 (10%),70,-5.68,-0.9,1/30 (3%),6,,
MAPE,120h,0,9/30 (30%),88,-1.67,-0.9,0/30 (0%),0,,
MAPE,48h,3,26/30 (87%),"1,291",-16.68,-0.9,10/30 (33%),390,,
MAPE,48h,2,29/30 (97%),"1,338",-13.16,-0.9,10/30 (33%),216,,
MAPE,48h,1,27/30 (90%),"1,379",-12.3,-0.9,17/30 (57%),414,,
MAPE,12h,0,29/30 (97%),"1,424",-17.92,-0.9,25/30 (83%),539,,
MAPE,48h,0,27/30 (90%),"1,480",-19.37,-0.9,16/30 (53%),454,,
MAPE,12h,3,30/30 (100%),"1,575",-18.01,-0.9,28/30 (93%),691,,
MAPE,12h,1,30/30 (100%),"1,581",-13.8,-0.9,25/30 (83%),609,,
MAPE,12h,2,30/30 (100%),"1,750",-16.01,-0.9,30/30 (100%),802,,
MAPE,96h,0,30/30 (100%),"1,805",-7.54,-0.9,20/30 (67%),194,,mape 96h often predicted between -1 and -5; does not dip as extreme as 12h leadtimes
MAPE,96h,2,29/30 (97%),"1,917",-8.36,-0.9,20/30 (67%),254,,
MAPE,96h,3,30/30 (100%),"1,920",-9.22,-0.9,20/30 (67%),284,,
MAPE,96h,1,30/30 (100%),"2,031",-9.27,-0.9,20/30 (67%),195,,
,,,,,,,,,,
Architecture,LeadTime,Cycle,% of Models with <-1.0°C Preds,Total <-1.0°C Preds,Ensemble Min,Observed Min,% of Models with <-5.0°C Preds,Total <-5.0°C Preds,,
MSE,48h,1,17/30 (57%),761,-14.25,-0.9,4/30 (13%),87,,
MSE,120h,3,24/30 (80%),804,-10.19,-0.9,6/30 (20%),90,,
MSE,48h,2,18/30 (60%),840,-10.05,-0.9,6/30 (20%),140,,
MSE,120h,0,21/30 (70%),865,-11.63,-0.9,9/30 (30%),140,,
MSE,120h,1,24/30 (80%),903,-13.07,-0.9,6/30 (20%),114,,
MSE,12h,3,26/30 (87%),998,-32.24,-0.9,18/30 (60%),439,,
MSE,48h,3,25/30 (83%),"1,010",-10.16,-0.9,7/30 (23%),132,,
MSE,48h,0,27/30 (90%),"1,043",-27.11,-0.9,9/30 (30%),283,,
MSE,12h,1,25/30 (83%),"1,049",-25.19,-0.9,15/30 (50%),360,,
MSE,120h,2,26/30 (87%),"1,116",-13.2,-0.9,9/30 (30%),197,,
MSE,96h,1,26/30 (87%),"1,182",-9.51,-0.9,10/30 (33%),140,,
MSE,12h,2,25/30 (83%),"1,187",-44.98,-0.9,18/30 (60%),477,,
MSE,12h,0,28/30 (93%),"1,361",-31.48,-0.9,24/30 (80%),652,,
MSE,96h,3,29/30 (97%),"1,410",-14.33,-0.9,13/30 (43%),245,,
MSE,96h,2,28/30 (93%),"1,462",-15.9,-0.9,16/30 (53%),319,,
MSE,96h,0,26/30 (87%),"1,552",-12.26,-0.9,18/30 (60%),261,,
