Architecture,LeadTime,Cycle,Extreme Models,Total Extreme Preds,Ensemble Min,Observed Min
MAPE,12h,0,25/30 (83%),539,-17.92°C,-0.90°C
MAPE,48h,0,16/30 (53%),454,-19.37°C,-0.90°C
MAPE,96h,0,20/30 (67%),194,-7.54°C,-0.90°C
MAPE,120h,0,0/30 (0%),0,-1.67°C,-0.90°C
MAPE,12h,1,25/30 (83%),609,-13.80°C,-0.90°C
MAPE,48h,1,17/30 (57%),414,-12.30°C,-0.90°C
MAPE,96h,1,20/30 (67%),195,-9.27°C,-0.90°C
MAPE,120h,1,0/30 (0%),0,-2.27°C,-0.90°C
MAPE,12h,2,30/30 (100%),802,-16.01°C,-0.90°C
MAPE,48h,2,10/30 (33%),216,-13.16°C,-0.90°C
MAPE,96h,2,20/30 (67%),254,-8.36°C,-0.90°C
MAPE,120h,2,0/30 (0%),0,-1.66°C,-0.90°C
MAPE,12h,3,28/30 (93%),691,-18.01°C,-0.90°C
MAPE,48h,3,10/30 (33%),390,-16.68°C,-0.90°C
MAPE,96h,3,20/30 (67%),284,-9.22°C,-0.90°C
MAPE,120h,3,1/30 (3%),6,-5.68°C,-0.90°C
