Architecture,LeadTime,Cycle,Extreme Models,Total Extreme Preds,Ensemble Min,Observed Min
MSE,12h,0,24/30 (80%),652,-31.48°C,-0.90°C
MSE,48h,0,9/30 (30%),283,-27.11°C,-0.90°C
MSE,96h,0,18/30 (60%),261,-12.26°C,-0.90°C
MSE,120h,0,9/30 (30%),140,-11.63°C,-0.90°C
MSE,12h,1,15/30 (50%),360,-25.19°C,-0.90°C
MSE,48h,1,4/30 (13%),87,-14.25°C,-0.90°C
MSE,96h,1,10/30 (33%),140,-9.51°C,-0.90°C
MSE,120h,1,6/30 (20%),114,-13.07°C,-0.90°C
MSE,12h,2,18/30 (60%),477,-44.98°C,-0.90°C
MSE,48h,2,6/30 (20%),140,-10.05°C,-0.90°C
MSE,96h,2,16/30 (53%),319,-15.90°C,-0.90°C
MSE,120h,2,9/30 (30%),197,-13.20°C,-0.90°C
MSE,12h,3,18/30 (60%),439,-32.24°C,-0.90°C
MSE,48h,3,7/30 (23%),132,-10.16°C,-0.90°C
MSE,96h,3,13/30 (43%),245,-14.33°C,-0.90°C
MSE,120h,3,6/30 (20%),90,-10.19°C,-0.90°C
